epoch,co2,temp,humid,count
1759225021,594,20.90104,83.94904,7
1759225051,594,20.86633,83.34173,7
1759225081,597,20.77554,83.00145,7
1759225111,605,20.7248,82.67948,7
1759225141,606,20.54589,82.4979,7
1759225171,611,20.54055,82.35752,7
1759225201,616,20.48981,82.26139,7
1759225231,613,20.3563,81.99435,7
1759225261,611,20.23079,81.75327,7
1759225291,609,20.12932,81.98062,7
1759225321,614,20.23346,83.56603,7
1759225351,616,20.35363,84.19928,7
1759225381,616,20.50584,84.48158,7
1759225411,612,20.63134,84.77608,7
1759225441,616,20.73549,84.92714,7
1759225471,617,20.89036,84.98055,7
1759225501,622,20.95445,85.19875,7
1759225531,624,21.05592,85.24147,7
1759225561,627,21.1574,85.13466,7
1759225591,632,20.96246,84.20386,7
1759225621,629,20.7435,83.1815,7
1759225651,632,20.78622,82.9633,7
1759225681,636,20.69543,82.44297,7
1759225711,639,20.626,82.52232,7
1759225741,637,20.58862,82.39872,7
1759225771,638,20.53254,82.21713,7
1759225801,642,20.44442,81.94095,7
1759225831,640,20.32158,81.56557,7
1759225861,642,20.23346,81.31533,7
1759225891,644,20.19341,81.09712,7
1759225921,647,20.2575,82.23239,7
1759225951,652,20.36698,83.40124,7
1759225981,657,20.49249,83.91547,7
1759226011,657,20.63668,84.2359,7
1759226041,660,20.75151,84.73335,7
1759226071,661,20.86366,84.83559,7
1759226101,661,20.96246,84.79591,7
1759226131,667,21.03189,84.71046,7
1759226161,660,20.83963,83.7354,7
1759226191,662,20.75418,82.87022,7
1759226221,659,20.66606,82.56809,7
1759226251,662,20.56726,82.31022,7
1759226281,668,20.60731,82.10422,7
1759226311,672,20.61265,81.78378,7
1759226341,679,20.46311,81.3016,7
1759226371,682,20.2842,81.14748,7
1759226401,682,20.07324,81.149,7
1759226431,686,20.12932,82.39872,7
1759226461,694,20.30022,83.21507,7
1759226491,697,20.40703,83.77814,7
1759226521,700,20.53254,84.16724,7
1759226551,696,20.69543,84.32136,7
1759226581,697,20.80758,84.44801,7
1759226611,698,20.88502,84.6067,7
1759226641,699,21.03189,84.58076,7
1759226671,696,21.06928,84.39765,7
1759226701,695,20.80491,83.00755,7
1759226731,696,20.70611,82.45975,7
1759226761,699,20.74884,82.06912,7
1759226791,700,20.56993,81.8143,7
1759226821,700,20.54322,81.70596,7
1759226851,698,20.52987,81.53658,7
1759226881,700,20.43374,81.30312,7
1759226911,702,20.42039,81.03304,7
1759226941,705,20.37499,80.7187,7
1759226971,704,20.20409,81.03609,7
1759227001,701,20.29488,82.21408,7
1759227031,703,20.39902,82.96178,7
1759227061,700,20.49516,83.47295,7
1759227091,701,20.62333,83.82697,7
1759227121,707,20.76753,84.14587,7
1759227151,705,20.85298,84.16113,7
1759227181,709,20.96246,84.36561,7
1759227211,706,21.03189,84.34577,7
1759227241,711,20.86633,83.4287,7
1759227271,714,20.67941,82.5391,7
1759227301,709,20.56726,82.38804,7
1759227331,711,20.34829,82.14236,7
1759227361,715,20.34028,82.04623,7
1759227391,715,20.32693,81.88602,7
1759227421,717,20.1667,81.68154,7
1759227451,720,20.14801,81.54421,7
1759227481,720,20.14534,81.25277,7
1759227511,718,19.99046,81.01472,7
1759227541,718,20.01984,82.0798,7
1759227571,717,20.22011,83.24864,7
1759227601,715,20.34829,83.82391,7
1759227631,716,20.50584,84.09552,7
1759227661,719,20.62333,84.1123,7
1759227691,717,20.73281,84.25422,7
1759227721,719,20.83429,84.29084,7
1759227751,721,20.9411,84.26032,7
1759227781,720,20.9411,83.99023,7
1759227812,722,20.75685,83.05486,7
1759227842,718,20.57794,82.4155,7
1759227872,719,20.5005,82.34379,7
1759227902,719,20.44709,82.4155,7
1759227932,723,20.49516,82.26902,7
1759227962,722,20.51652,81.76242,7
1759227992,726,20.40436,81.55032,7
1759228022,725,20.30022,81.40841,7
1759228052,725,20.1133,81.02998,7
1759228082,727,20.01717,80.96895,7
1759228112,726,20.11864,82.03098,7
1759228142,724,20.22011,83.21507,7
1759228172,726,20.39101,83.99786,7
1759228202,728,20.54322,84.28168,7
1759228232,725,20.69543,84.65858,7
1759228262,724,20.83963,84.90425,7
1759228292,728,21.00786,84.93935,7
1759228322,727,20.97849,84.79591,7
1759228352,732,20.80758,83.57977,7
1759228382,728,20.69276,82.91447,7
1759228412,728,20.57794,82.84428,7
1759228442,726,20.57794,82.72221,7
1759228472,722,20.61265,82.49638,7
1759228502,724,20.51118,82.39414,7
1759228532,722,20.36965,82.22171,7
1759228562,717,20.22011,82.09506,7
1759228592,713,20.13466,82.12558,7
1759228622,724,19.97978,81.90585,7
1759228652,722,19.96643,81.77615,7
1759228682,726,20.07057,83.21965,7
1759228712,729,20.22278,84.11078,7
1759228742,730,20.36698,84.30152,7
1759228772,733,20.48447,84.59449,7
1759228802,738,20.61532,84.80812,7
1759228832,737,20.78355,84.80965,7
1759228862,737,20.89837,84.92256,7
1759228892,745,20.98917,85.06905,7
1759228922,749,20.90372,84.10925,7
1759228952,752,20.71946,83.06401,7
1759228982,752,20.54589,82.70695,7
1759229012,757,20.49249,82.50248,7
1759229042,752,20.44175,82.46281,7
1759229072,750,20.33761,82.39262,7
1759229102,752,20.32158,82.47959,7
1759229132,748,20.37766,82.61692,7
1759229162,748,20.40169,82.39414,7
1759229192,749,20.39101,82.0325,7
1759229222,741,20.27085,81.73342,7
1759229252,742,20.20142,81.3962,7
1759229282,748,20.19875,81.00557,7
1759229312,744,20.26284,81.46944,7
1759229342,747,20.36698,82.74509,7
1759229372,751,20.47646,83.22881,7
1759229402,753,20.61532,83.62402,7
1759229432,751,20.67941,84.04669,7
1759229462,751,20.78889,84.36103,7
1759229492,755,20.92775,84.36408,7
1759229522,755,21.02922,84.55024,7
1759229552,762,20.9865,83.91089,7
1759229582,765,20.81025,82.67948,7
1759229612,765,20.64736,82.08438,7
1759229642,764,20.54055,81.82803,7
1759229672,763,20.56191,81.64187,7
1759229702,766,20.4818,81.4374,7
1759229732,763,20.43908,81.32296,7
1759229762,766,20.4818,81.06203,7
1759229792,768,20.4097,80.7599,7
1759229822,769,20.34829,80.54017,7
1759229852,768,20.27352,80.23499,7
1759229882,770,20.22278,80.29908,7
1759229912,767,20.30022,81.71969,7
1759229942,765,20.42306,82.49332,7
1759229972,769,20.50584,82.90379,7
1759230002,778,20.64202,83.46685,7
1759230032,778,20.78088,83.48669,7
1759230062,780,20.87434,83.6408,7
1759230092,777,20.99184,83.87579,7
1759230122,782,20.93042,82.87633,7
1759230152,778,20.71679,81.8555,7
1759230182,781,20.64736,81.5259,7
1759230212,786,20.64202,81.13527,7
